年份,哲学,经济学,法学,教育学,文学,历史学,理学,工学,农学,医学,军事学,管理学,艺术学,体育学,工学照顾,中医照顾,有无疫情影响,参考人数,上一年GDP（万亿$）,上一年GDP增长率,上一年失业人数（万）,高校毕业人数
2010,270,330,310,310,345,275,280,275,260,280,305,330,305,270,260,260,无,151,34.85,9.40%,921,575.4
2011,295,350,325,305,355,295,295,300,260,300,310,350,320,270,280,270,无,154,41.21,10.60%,908,608.2
2012,290,340,315,300,345,285,290,290,255,295,300,340,315,265,275,265,无,166,48.79,9.60%,922,624.7
2013,280,340,315,310,350,295,290,295,255,290,295,345,320,265,280,275,无,176,53.86,7.90%,917,699
2014,290,330,315,315,350,310,285,285,255,285,290,335,325,265,275,280,无,172,59.3,7.80%,926,727
2015,280,330,300,320,345,300,275,280,255,285,290,335,325,265,275,285,无,169,64.36,7.40%,952,749
2016,280,325,315,320,350,315,285,265,255,295,280,335,335,265,265,295,无,177,68.69,7%,966,765
2017,285,335,310,310,345,315,290,265,255,295,280,340,335,260,260,295,无,201,74.64,6.80%,982,795
2018,280,330,315,320,345,315,280,260,255,300,270,330,335,265,255,300,无,238,83.2,6.90%,972,821
2019,295,345,320,325,355,325,290,270,255,305,270,345,340,270,260,305,无,290,91.93,6.70%,974,834
2020,300,343,325,331,355,324,288,264,253,300,265,345,347,277,254,300,有,341,98.65,6%,945,874
2021,299,348,321,337,355,321,280,263,252,299,265,341,346,281,253,299,有,377,101.36,2.20%,1160,909
2022,314,360,335,351,397,336,290,273,252,309,265,353,361,296,260,306,有,457,114.92,8.40%,1040,1076
2023,323,346,326,350,363,336,279,273,251,296,260,340,362,305,260,295,有,474,121.02,3%,4400,1158
